Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
311859,AAA Batteries (4-pack),1,2.99,20/04/12 20:43,"470 Cedar St, Dallas, TX 75001"
311860,USB-C Charging Cable,1,11.95,20/04/08 23:42,"917 Center St, Los Angeles, CA 90001"
311861,Flatscreen TV,1,300.0,20/04/06 18:21,"347 Church St, San Francisco, CA 94016"
311862,27in FHD Monitor,1,149.99,20/04/27 22:32,"604 Main St, Dallas, TX 75001"
311863,AA Batteries (4-pack),1,3.84,20/04/16 09:33,"443 Johnson St, Portland, OR 97035"
311864,20in Monitor,1,109.99,20/04/04 19:01,"54 Dogwood St, San Francisco, CA 94016"
311865,AA Batteries (4-pack),2,3.84,20/04/25 07:08,"624 Spruce St, Boston, MA 02215"
311866,Lightning Charging Cable,1,14.95,20/04/13 18:08,"331 Church St, Seattle, WA 98101"
311867,USB-C Charging Cable,1,11.95,20/05/01 02:36,"758 Dogwood St, San Francisco, CA 94016"
311868,AAA Batteries (4-pack),1,2.99,20/04/26 11:33,"643 West St, New York City, NY 10001"
311869,Macbook Pro Laptop,1,1700.0,20/04/18 16:14,"670 Jefferson St, Portland, OR 97035"
311870,34in Ultrawide Monitor,1,379.99,20/04/29 21:53,"531 Madison St, San Francisco, CA 94016"
311871,27in FHD Monitor,1,149.99,20/04/19 17:43,"941 9th St, Los Angeles, CA 90001"
311872,Wired Headphones,1,11.99,20/04/25 06:24,"321 13th St, Boston, MA 02215"
311873,AA Batteries (4-pack),1,3.84,20/04/20 00:51,"868 2nd St, Dallas, TX 75001"
311874,Samsung Phone,1,600.0,20/04/05 23:10,"736 7th St, New York City, NY 10001"
311875,Bose SoundSport Headphones,1,99.99,20/04/30 15:11,"246 Meadow St, New York City, NY 10001"
311876,Macbook Pro Laptop,1,1700.0,20/04/10 20:10,"494 Jackson St, New York City, NY 10001"
311877,USB-C Charging Cable,1,11.95,20/04/30 20:09,"349 9th St, Boston, MA 02215"
311878,ThinkPad Laptop,1,999.99,20/04/23 11:22,"368 Willow St, Los Angeles, CA 90001"
,,,,,
311879,USB-C Charging Cable,1,11.95,20/04/28 16:09,"820 Johnson St, Atlanta, GA 30301"
311879,Wired Headphones,1,11.99,20/04/28 16:09,"820 Johnson St, Atlanta, GA 30301"
311880,USB-C Charging Cable,1,11.95,20/04/12 11:43,"526 Sunset St, New York City, NY 10001"
311881,AAA Batteries (4-pack),1,2.99,20/04/05 09:02,"934 Jackson St, San Francisco, CA 94016"
311882,Apple Airpods Headphones,1,150,20/04/18 21:42,"453 Hickory St, Dallas, TX 75001"
311883,Lightning Charging Cable,1,14.95,20/04/09 23:59,"335 Hickory St, San Francisco, CA 94016"
311884,Apple Airpods Headphones,1,150,20/04/08 12:02,"385 Cherry St, San Francisco, CA 94016"
311885,AA Batteries (4-pack),1,3.84,20/04/04 15:27,"259 2nd St, Portland, ME 04101"
311886,AA Batteries (4-pack),2,3.84,20/04/05 13:40,"719 Maple St, San Francisco, CA 94016"
311887,Lightning Charging Cable,2,14.95,20/04/01 17:43,"174 8th St, Seattle, WA 98101"
311888,Wired Headphones,1,11.99,20/04/22 19:00,"364 Lincoln St, Los Angeles, CA 90001"
311889,Apple Airpods Headphones,1,150,20/04/23 18:23,"947 7th St, Los Angeles, CA 90001"
311890,AAA Batteries (4-pack),1,2.99,20/04/19 17:16,"34 Maple St, Los Angeles, CA 90001"
311891,AAA Batteries (4-pack),2,2.99,20/04/14 12:12,"552 Meadow St, Portland, OR 97035"
311892,Lightning Charging Cable,1,14.95,20/04/07 16:33,"964 Maple St, Los Angeles, CA 90001"
311893,AAA Batteries (4-pack),1,2.99,20/04/25 17:02,"48 Main St, Los Angeles, CA 90001"
311894,27in 4K Gaming Monitor,1,389.99,20/04/17 17:17,"67 12th St, Los Angeles, CA 90001"
311895,USB-C Charging Cable,1,11.95,20/04/09 20:52,"336 Lake St, San Francisco, CA 94016"
311896,USB-C Charging Cable,2,11.95,20/04/17 11:35,"670 Church St, New York City, NY 10001"
311897,Samsung Phone,1,600,20/04/28 13:01,"888 Dogwood St, Atlanta, GA 30301"
311898,USB-C Charging Cable,1,11.95,20/04/25 12:56,"933 North St, Portland, OR 97035"
311899,USB-C Charging Cable,1,11.95,20/04/01 23:17,"207 5th St, Boston, MA 02215"
311900,USB-C Charging Cable,1,11.95,20/04/14 18:18,"336 Jefferson St, Dallas, TX 75001"
311901,Bose SoundSport Headphones,1,99.99,20/04/09 12:36,"944 Washington St, Los Angeles, CA 90001"
311902,AA Batteries (4-pack),1,3.84,20/04/09 17:10,"221 Center St, Los Angeles, CA 90001"
311903,AAA Batteries (4-pack),1,2.99,20/04/17 10:42,"848 South St, Boston, MA 02215"
311904,Apple Airpods Headphones,1,150,20/04/25 20:38,"308 Cedar St, San Francisco, CA 94016"
311905,Samsung Phone,1,600,20/04/13 18:27,"21 Highland St, Dallas, TX 75001"
311906,Macbook Pro Laptop,1,1700,20/04/27 20:01,"205 Highland St, San Francisco, CA 94016"
311907,27in FHD Monitor,1,149.99,20/04/09 18:05,"663 Forest St, Seattle, WA 98101"
311908,AAA Batteries (4-pack),2,2.99,20/04/11 12:53,"790 Maple St, Los Angeles, CA 90001"
311909,Bose SoundSport Headphones,1,99.99,20/04/03 17:43,"785 Sunset St, Los Angeles, CA 90001"
311910,USB-C Charging Cable,1,11.95,20/04/02 18:16,"826 Jackson St, San Francisco, CA 94016"
311911,Apple Airpods Headphones,1,150,20/04/01 18:11,"390 Lakeview St, Portland, ME 04101"
311912,27in FHD Monitor,1,149.99,20/04/10 06:24,"407 Adams St, San Francisco, CA 94016"
311913,Flatscreen TV,1,300,20/04/03 02:33,"631 West St, Portland, OR 97035"
311914,Lightning Charging Cable,1,14.95,20/04/04 20:51,"130 Elm St, San Francisco, CA 94016"
311915,USB-C Charging Cable,1,11.95,20/04/02 19:53,"705 8th St, Los Angeles, CA 90001"
311916,USB-C Charging Cable,1,11.95,20/04/04 07:19,"573 6th St, San Francisco, CA 94016"
311917,34in Ultrawide Monitor,1,379.99,20/04/10 12:41,"932 Chestnut St, Los Angeles, CA 90001"
311918,AAA Batteries (4-pack),1,2.99,20/04/20 21:46,"659 Chestnut St, San Francisco, CA 94016"
