Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
291734,USB-C Charging Cable,1,11.95,20/02/22 12:13,"21 South St, San Francisco, CA 94016"
291735,Wired Headphones,1,11.99,20/02/05 10:49,"107 Meadow St, Seattle, WA 98101"
291736,Samsung Phone,1,600.0,20/02/10 19:02,"907 South St, Atlanta, GA 30301"
291737,Wired Headphones,1,11.99,20/02/18 12:11,"151 Hickory St, San Francisco, CA 94016"
291738,Samsung Phone,1,600.0,20/02/29 15:55,"877 North St, Los Angeles, CA 90001"
291739,Lightning Charging Cable,1,14.95,20/02/28 12:12,"671 Willow St, Austin, TX 73301"
291740,AA Batteries (4-pack),1,3.84,20/02/27 21:58,"476 Dogwood St, Boston, MA 02215"
291741,Wired Headphones,1,11.99,20/02/22 10:44,"450 Sunset St, Seattle, WA 98101"
291742,AAA Batteries (4-pack),1,2.99,20/02/15 16:22,"321 Dogwood St, Atlanta, GA 30301"
291743,Wired Headphones,1,11.99,20/02/26 22:24,"296 Main St, Los Angeles, CA 90001"
291744,Wired Headphones,1,11.99,20/02/28 18:32,"183 Cherry St, San Francisco, CA 94016"
291745,Samsung Phone,1,600.0,20/02/09 22:57,"607 Chestnut St, Los Angeles, CA 90001"
291746,IPhone,1,700.0,20/02/15 13:17,"538 Wilson St, New York City, NY 10001"
291747,Lightning Charging Cable,1,14.95,20/02/13 20:04,"380 Lincoln St, Dallas, TX 75001"
291748,USB-C Charging Cable,1,11.95,20/02/16 21:45,"280 Sunset St, Austin, TX 73301"
291749,Macbook Pro Laptop,1,1700.0,20/02/13 17:34,"573 Washington St, Los Angeles, CA 90001"
291750,AAA Batteries (4-pack),1,2.99,20/02/13 21:46,"543 Jackson St, Los Angeles, CA 90001"
291751,Apple Airpods Headphones,1,150.0,20/02/26 19:55,"413 Spruce St, Atlanta, GA 30301"
291752,Wired Headphones,1,11.99,20/02/15 23:59,"37 Washington St, Boston, MA 02215"
291753,Samsung Phone,1,600.0,20/02/22 09:07,"489 Highland St, Atlanta, GA 30301"
291754,Lightning Charging Cable,1,14.95,20/02/13 21:14,"942 Ridge St, Seattle, WA 98101"
291755,Samsung Phone,1,600.0,20/02/11 21:16,"713 Chestnut St, Los Angeles, CA 90001"
291755,USB-C Charging Cable,1,11.95,20/02/11 21:16,"713 Chestnut St, Los Angeles, CA 90001"
291756,Lightning Charging Cable,1,14.95,20/02/20 15:24,"637 9th St, San Francisco, CA 94016"
291757,USB-C Charging Cable,2,11.95,20/02/26 19:57,"198 West St, San Francisco, CA 94016"
291758,IPhone,1,700.0,20/02/08 20:18,"584 Madison St, Portland, OR 97035"
291758,Lightning Charging Cable,1,14.95,20/02/08 20:18,"584 Madison St, Portland, OR 97035"
291759,34in Ultrawide Monitor,1,379.99,20/02/16 17:37,"637 5th St, Seattle, WA 98101"
291760,Bose SoundSport Headphones,1,99.99,20/02/26 20:15,"643 Cherry St, New York City, NY 10001"
291761,Bose SoundSport Headphones,1,99.99,20/02/21 15:33,"209 Chestnut St, Boston, MA 02215"
291762,AA Batteries (4-pack),1,3.84,20/02/28 06:43,"74 Washington St, New York City, NY 10001"
291763,AA Batteries (4-pack),1,3.84,20/02/18 17:15,"550 5th St, Atlanta, GA 30301"
291764,AA Batteries (4-pack),1,3.84,20/02/21 20:01,"440 Pine St, Dallas, TX 75001"
291765,Lightning Charging Cable,1,14.95,20/02/11 23:07,"442 10th St, Seattle, WA 98101"
291766,Apple Airpods Headphones,1,150.0,20/02/01 21:47,"242 Elm St, San Francisco, CA 94016"
291767,AAA Batteries (4-pack),2,2.99,20/02/29 20:17,"190 Cedar St, Los Angeles, CA 90001"
291768,27in FHD Monitor,1,149.99,20/02/26 23:27,"821 West St, San Francisco, CA 94016"
291769,USB-C Charging Cable,1,11.95,20/02/14 18:57,"604 Wilson St, Los Angeles, CA 90001"
291770,Lightning Charging Cable,1,14.95,20/02/09 10:45,"465 Park St, Boston, MA 02215"
291771,Apple Airpods Headphones,1,150.0,20/02/05 14:21,"417 West St, Austin, TX 73301"
291772,AA Batteries (4-pack),3,3.84,20/02/01 19:55,"839 Meadow St, San Francisco, CA 94016"
291773,USB-C Charging Cable,1,11.95,20/02/04 05:37,"677 Ridge St, Los Angeles, CA 90001"
291774,IPhone,1,700.0,20/02/05 15:39,"308 Cedar St, Los Angeles, CA 90001"
291775,Lightning Charging Cable,1,14.95,20/02/08 01:03,"548 Wilson St, New York City, NY 10001"
291776,34in Ultrawide Monitor,1,379.99,20/02/26 16:00,"448 6th St, Austin, TX 73301"
291777,AAA Batteries (4-pack),1,2.99,20/02/05 13:17,"536 Jackson St, Boston, MA 02215"
291778,AA Batteries (4-pack),1,3.84,20/02/23 04:30,"982 Pine St, New York City, NY 10001"
291779,Lightning Charging Cable,1,14.95,20/02/22 10:56,"171 14th St, Los Angeles, CA 90001"
291780,Macbook Pro Laptop,1,1700.0,20/02/24 19:38,"52 14th St, San Francisco, CA 94016"
291781,Wired Headphones,1,11.99,20/02/14 21:44,"26 9th St, Los Angeles, CA 90001"
291781,Flatscreen TV,1,300.0,20/02/14 21:44,"26 9th St, Los Angeles, CA 90001"
