Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
281234,Wired Headphones,2,11.99,20/01/22 20:13,"577 Cedar St, Austin, TX 73301"
281235,Samsung Phone,1,600.0,20/01/02 12:24,"782 12th St, New York City, NY 10001"
281235,USB-C Charging Cable,1,11.95,20/01/02 12:24,"782 12th St, New York City, NY 10001"
281236,Wired Headphones,1,11.99,20/01/20 15:20,"559 9th St, Dallas, TX 75001"
281237,Lightning Charging Cable,1,14.95,20/01/04 11:45,"273 Lake St, New York City, NY 10001"
281238,Lightning Charging Cable,1,14.95,20/01/26 19:01,"5 8th St, Dallas, TX 75001"
281239,Apple Airpods Headphones,1,150.0,20/01/13 20:38,"446 9th St, Boston, MA 02215"
281240,Apple Airpods Headphones,1,150.0,20/01/22 12:01,"888 Johnson St, San Francisco, CA 94016"
281241,USB-C Charging Cable,1,11.95,20/01/31 17:46,"101 13th St, San Francisco, CA 94016"
281242,AAA Batteries (4-pack),1,2.99,20/01/30 18:52,"289 8th St, New York City, NY 10001"
281243,Bose SoundSport Headphones,1,99.99,20/01/28 09:51,"345 6th St, Boston, MA 02215"
281244,ThinkPad Laptop,1,999.99,20/01/20 16:14,"916 West St, Seattle, WA 98101"
281245,Lightning Charging Cable,1,14.95,20/01/12 21:49,"970 Spruce St, San Francisco, CA 94016"
281246,AA Batteries (4-pack),1,3.84,20/01/14 16:34,"309 10th St, Seattle, WA 98101"
281247,Bose SoundSport Headphones,1,99.99,20/01/10 22:18,"898 Walnut St, San Francisco, CA 94016"
281248,AAA Batteries (4-pack),2,2.99,20/01/26 09:56,"807 Spruce St, Boston, MA 02215"
281249,Bose SoundSport Headphones,1,99.99,20/01/29 01:33,"222 Elm St, New York City, NY 10001"
281250,Apple Airpods Headphones,1,150.0,20/01/07 23:01,"734 14th St, New York City, NY 10001"
281251,USB-C Charging Cable,1,11.95,20/01/01 22:40,"62 South St, New York City, NY 10001"
281252,Bose SoundSport Headphones,1,99.99,20/01/27 21:29,"523 Highland St, Los Angeles, CA 90001"
281252,Lightning Charging Cable,1,14.95,20/01/27 21:29,"523 Highland St, Los Angeles, CA 90001"
281253,Lightning Charging Cable,1,14.95,20/01/16 19:52,"163 Johnson St, Seattle, WA 98101"
281254,Lightning Charging Cable,1,14.95,20/01/31 17:33,"983 Cherry St, Los Angeles, CA 90001"
