Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
362665,Lightning Charging Cable,1,14.95,20/07/10 21:45,"595 Main St, Seattle, WA 98101"
362666,ThinkPad Laptop,1,999.99,20/07/04 22:58,"202 Forest St, San Francisco, CA 94016"
362667,IPhone,1,700.0,20/07/13 09:11,"31 Chestnut St, Portland, OR 97035"
362667,Lightning Charging Cable,1,14.95,20/07/13 09:11,"31 Chestnut St, Portland, OR 97035"
362667,Wired Headphones,1,11.99,20/07/13 09:11,"31 Chestnut St, Portland, OR 97035"
362668,AA Batteries (4-pack),1,3.84,20/07/15 20:32,"536 Center St, San Francisco, CA 94016"
362669,Macbook Pro Laptop,1,1700.0,20/07/02 21:06,"66 12th St, Boston, MA 02215"
362670,Apple Airpods Headphones,1,150.0,20/07/16 07:44,"487 Jackson St, Dallas, TX 75001"
362671,AA Batteries (4-pack),1,3.84,20/07/11 21:22,"113 14th St, Portland, ME 04101"
362672,Apple Airpods Headphones,1,150.0,20/07/10 12:40,"575 Center St, Dallas, TX 75001"
362673,Wired Headphones,1,11.99,20/07/12 14:04,"265 Elm St, San Francisco, CA 94016"
362674,Wired Headphones,1,11.99,20/07/22 01:01,"874 Willow St, San Francisco, CA 94016"
362675,Macbook Pro Laptop,1,1700.0,20/07/14 11:39,"311 Walnut St, Seattle, WA 98101"
362676,AAA Batteries (4-pack),2,2.99,20/07/02 20:26,"103 8th St, San Francisco, CA 94016"
362677,27in 4K Gaming Monitor,1,389.99,20/07/14 12:13,"339 13th St, San Francisco, CA 94016"
362678,27in 4K Gaming Monitor,1,389.99,20/07/20 18:59,"719 Spruce St, New York City, NY 10001"
362679,AAA Batteries (4-pack),2,2.99,20/07/27 14:38,"991 14th St, Portland, OR 97035"
362680,AAA Batteries (4-pack),1,2.99,20/07/16 17:53,"28 Forest St, Atlanta, GA 30301"
362681,Wired Headphones,1,11.99,20/07/17 16:44,"78 Meadow St, San Francisco, CA 94016"
362682,IPhone,1,700.0,20/07/27 10:23,"527 9th St, San Francisco, CA 94016"
