Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
330377,Apple Airpods Headphones,1,150,20/05/10 08:19,"310 North St, San Francisco, CA 94016"
330378,AAA Batteries (4-pack),2,2.99,20/05/23 13:44,"186 Hickory St, Portland, OR 97035"
330379,IPhone,1,700,20/05/31 10:41,"490 Johnson St, San Francisco, CA 94016"
330380,AAA Batteries (4-pack),1,2.99,20/05/26 14:52,"95 Lakeview St, Los Angeles, CA 90001"
330381,IPhone,1,700,20/05/25 12:24,"570 West St, New York City, NY 10001"
330381,Lightning Charging Cable,1,14.95,20/05/25 12:24,"570 West St, New York City, NY 10001"
330382,AAA Batteries (4-pack),2,2.99,20/05/07 18:00,"22 North St, San Francisco, CA 94016"
330383,USB-C Charging Cable,1,11.95,20/05/23 18:02,"159 Elm St, Seattle, WA 98101"
330384,AAA Batteries (4-pack),1,2.99,20/05/18 20:39,"105 Hill St, Los Angeles, CA 90001"
330385,Apple Airpods Headphones,1,150,20/05/29 16:46,"851 Pine St, Boston, MA 02215"
330386,34in Ultrawide Monitor,1,379.99,20/05/08 19:26,"423 Meadow St, Los Angeles, CA 90001"
330387,AAA Batteries (4-pack),1,2.99,20/05/16 09:18,"828 Jefferson St, New York City, NY 10001"
330387,Lightning Charging Cable,1,14.95,20/05/16 09:18,"828 Jefferson St, New York City, NY 10001"
330388,Wired Headphones,1,11.99,20/05/24 21:26,"215 Johnson St, San Francisco, CA 94016"
330389,AA Batteries (4-pack),2,3.84,20/05/20 16:51,"573 Hill St, San Francisco, CA 94016"
330390,AAA Batteries (4-pack),1,2.99,20/05/08 11:42,"76 10th St, Dallas, TX 75001"
330391,Samsung Phone,1,600,20/05/06 16:18,"375 Lake St, Boston, MA 02215"
330391,USB-C Charging Cable,1,11.95,20/05/06 16:18,"375 Lake St, Boston, MA 02215"
330392,AAA Batteries (4-pack),1,2.99,20/05/29 13:48,"390 Cedar St, Atlanta, GA 30301"
330393,USB-C Charging Cable,1,11.95,20/05/27 18:22,"172 Center St, Boston, MA 02215"
330394,ThinkPad Laptop,1,999.99,20/05/23 15:05,"159 South St, San Francisco, CA 94016"
330395,Lightning Charging Cable,1,14.95,20/05/29 21:02,"411 Maple St, Los Angeles, CA 90001"
330396,AAA Batteries (4-pack),2,2.99,20/05/17 20:20,"823 Elm St, San Francisco, CA 94016"
330397,Samsung Phone,1,600,20/05/16 05:44,"650 Meadow St, Seattle, WA 98101"
330398,Wired Headphones,1,11.99,20/05/25 14:52,"707 8th St, New York City, NY 10001"
330399,Lightning Charging Cable,1,14.95,20/05/05 10:25,"222 8th St, Los Angeles, CA 90001"
330400,27in FHD Monitor,1,149.99,20/05/13 12:49,"515 11th St, Austin, TX 73301"
330401,Apple Airpods Headphones,1,150,20/05/26 19:55,"446 Jackson St, Seattle, WA 98101"
330402,Apple Airpods Headphones,1,150,20/05/10 08:48,"829 12th St, Boston, MA 02215"
330403,27in FHD Monitor,1,149.99,20/05/03 21:53,"427 Lake St, Portland, OR 97035"
330404,Apple Airpods Headphones,1,150,20/05/14 17:08,"335 Dogwood St, Boston, MA 02215"
330405,AA Batteries (4-pack),2,3.84,20/05/19 18:41,"962 Lakeview St, San Francisco, CA 94016"
330406,USB-C Charging Cable,1,11.95,20/05/18 12:16,"42 6th St, Seattle, WA 98101"
330407,IPhone,1,700,20/05/03 13:33,"149 Spruce St, San Francisco, CA 94016"
330408,Wired Headphones,1,11.99,20/05/29 03:27,"653 Jefferson St, Seattle, WA 98101"
330409,AAA Batteries (4-pack),1,2.99,20/05/03 20:14,"21 Dogwood St, Los Angeles, CA 90001"
330410,Apple Airpods Headphones,1,150,20/05/29 16:23,"592 2nd St, Boston, MA 02215"
330411,AAA Batteries (4-pack),4,2.99,20/05/21 17:41,"110 Jackson St, Los Angeles, CA 90001"
330412,Apple Airpods Headphones,1,150,20/05/17 20:17,"454 Chestnut St, Dallas, TX 75001"
330413,AA Batteries (4-pack),2,3.84,20/05/22 12:55,"923 Highland St, San Francisco, CA 94016"
330414,AAA Batteries (4-pack),1,2.99,20/05/28 21:41,"71 Hill St, Portland, OR 97035"
330415,USB-C Charging Cable,1,11.95,20/05/23 09:59,"763 9th St, New York City, NY 10001"
330416,USB-C Charging Cable,1,11.95,20/05/18 17:43,"149 1st St, Los Angeles, CA 90001"
330417,USB-C Charging Cable,1,11.95,20/05/10 22:52,"127 Willow St, Seattle, WA 98101"
330418,USB-C Charging Cable,1,11.95,20/05/06 21:16,"244 Forest St, Dallas, TX 75001"
330419,AA Batteries (4-pack),2,3.84,20/05/01 18:10,"477 Lakeview St, Portland, ME 04101"
330420,Budget Phone,1,400,20/05/23 12:45,"757 8th St, Boston, MA 02215"
330421,Wired Headphones,1,11.99,20/05/28 21:06,"535 Sunset St, San Francisco, CA 94016"
330422,Samsung Phone,1,600,20/05/06 09:38,"127 Cherry St, San Francisco, CA 94016"
330423,AAA Batteries (4-pack),1,2.99,20/05/20 16:42,"814 Main St, Boston, MA 02215"
330424,34in Ultrawide Monitor,1,379.99,20/05/15 21:31,"506 5th St, Boston, MA 02215"
330425,Apple Airpods Headphones,1,150,20/05/17 14:39,"708 Meadow St, Boston, MA 02215"
330426,AA Batteries (4-pack),1,3.84,20/05/10 23:35,"247 13th St, Los Angeles, CA 90001"
330427,AAA Batteries (4-pack),1,2.99,20/05/12 19:36,"792 Spruce St, Boston, MA 02215"
330428,27in 4K Gaming Monitor,1,389.99,20/05/27 11:54,"443 Spruce St, Boston, MA 02215"
330429,Lightning Charging Cable,1,14.95,20/05/14 15:22,"41 Park St, New York City, NY 10001"
330430,Flatscreen TV,1,300,20/05/30 23:09,"542 West St, New York City, NY 10001"
330431,IPhone,1,700,20/05/29 07:58,"326 Spruce St, Seattle, WA 98101"
330432,AAA Batteries (4-pack),1,2.99,20/05/07 18:38,"102 Jefferson St, New York City, NY 10001"
330433,IPhone,1,700,20/05/02 17:11,"592 5th St, Dallas, TX 75001"
330434,27in FHD Monitor,1,149.99,20/05/18 22:39,"151 Johnson St, Austin, TX 73301"
330435,USB-C Charging Cable,1,11.95,20/05/30 09:04,"993 13th St, Los Angeles, CA 90001"
330436,Wired Headphones,1,11.99,20/05/07 23:22,"768 Maple St, Seattle, WA 98101"
330437,Wired Headphones,1,11.99,20/05/02 20:30,"918 Walnut St, New York City, NY 10001"
330438,USB-C Charging Cable,1,11.95,20/05/06 20:21,"863 4th St, Los Angeles, CA 90001"
330439,IPhone,1,700,20/05/24 10:20,"4 12th St, Atlanta, GA 30301"
330440,Lightning Charging Cable,1,14.95,20/05/30 00:00,"91 Forest St, New York City, NY 10001"
330441,Samsung Phone,1,600,20/05/25 19:38,"549 Washington St, Dallas, TX 75001"
330441,USB-C Charging Cable,1,11.95,20/05/25 19:38,"549 Washington St, Dallas, TX 75001"
330442,USB-C Charging Cable,1,11.95,20/05/08 01:50,"82 Maple St, Dallas, TX 75001"
330443,Macbook Pro Laptop,1,1700,20/05/12 14:23,"357 River St, San Francisco, CA 94016"
330444,IPhone,1,700,20/05/29 21:19,"748 5th St, New York City, NY 10001"
330444,Lightning Charging Cable,1,14.95,20/05/29 21:19,"748 5th St, New York City, NY 10001"
330445,Wired Headphones,1,11.99,20/05/08 18:26,"500 Highland St, New York City, NY 10001"
330446,34in Ultrawide Monitor,1,379.99,20/05/10 22:19,"557 Sunset St, Portland, OR 97035"
330447,USB-C Charging Cable,1,11.95,20/05/08 14:33,"582 South St, Portland, ME 04101"
330448,IPhone,1,700,20/05/06 20:03,"105 Lake St, Austin, TX 73301"
330449,USB-C Charging Cable,2,11.95,20/05/14 21:45,"726 7th St, Los Angeles, CA 90001"
330450,LG Dryer,1,600.0,20/05/13 19:44,"694 Chestnut St, Dallas, TX 75001"
330451,Apple Airpods Headphones,1,150,20/05/08 09:31,"182 Jefferson St, Austin, TX 73301"
330452,Wired Headphones,2,11.99,20/05/24 20:35,"529 Ridge St, San Francisco, CA 94016"
330453,Flatscreen TV,1,300,20/05/29 08:37,"653 Hickory St, Dallas, TX 75001"
330454,Bose SoundSport Headphones,1,99.99,20/05/19 15:08,"325 North St, Los Angeles, CA 90001"
330455,AAA Batteries (4-pack),1,2.99,20/05/05 04:38,"39 11th St, San Francisco, CA 94016"
330456,AA Batteries (4-pack),2,3.84,20/05/26 17:47,"316 Jackson St, Los Angeles, CA 90001"
330457,Samsung Phone,1,600,20/05/28 19:22,"150 Hill St, Atlanta, GA 30301"
330458,AA Batteries (4-pack),2,3.84,20/05/30 04:57,"184 Hickory St, New York City, NY 10001"
330459,USB-C Charging Cable,1,11.95,20/05/08 00:23,"8 Park St, Dallas, TX 75001"
330460,AA Batteries (4-pack),2,3.84,20/05/01 10:56,"59 Wilson St, Seattle, WA 98101"
330461,AAA Batteries (4-pack),1,2.99,20/05/13 10:58,"649 6th St, Los Angeles, CA 90001"
330462,Samsung Phone,1,600,20/05/22 10:29,"858 Meadow St, Seattle, WA 98101"
330463,27in FHD Monitor,1,149.99,20/05/09 13:11,"607 2nd St, Atlanta, GA 30301"
330464,Lightning Charging Cable,1,14.95,20/05/21 12:46,"358 Forest St, San Francisco, CA 94016"
330465,34in Ultrawide Monitor,1,379.99,20/05/28 09:30,"214 Church St, Portland, OR 97035"
330466,Macbook Pro Laptop,1,1700,20/05/04 18:31,"132 Ridge St, Seattle, WA 98101"
330467,Wired Headphones,1,11.99,20/05/29 22:30,"106 Lake St, San Francisco, CA 94016"
330468,Lightning Charging Cable,1,14.95,20/05/10 16:17,"602 Wilson St, Atlanta, GA 30301"
330469,Lightning Charging Cable,2,14.95,20/05/14 20:33,"496 West St, Seattle, WA 98101"
330470,AAA Batteries (4-pack),1,2.99,20/05/10 21:37,"323 Madison St, New York City, NY 10001"
330471,Bose SoundSport Headphones,1,99.99,20/05/02 11:32,"522 Cedar St, Boston, MA 02215"
330472,USB-C Charging Cable,1,11.95,20/05/22 11:58,"156 13th St, San Francisco, CA 94016"
330473,Macbook Pro Laptop,1,1700,20/05/26 21:36,"673 9th St, San Francisco, CA 94016"
330474,USB-C Charging Cable,1,11.95,20/05/25 23:32,"526 10th St, San Francisco, CA 94016"
330475,34in Ultrawide Monitor,1,379.99,20/05/21 19:53,"459 Lakeview St, New York City, NY 10001"
330476,USB-C Charging Cable,1,11.95,20/05/19 16:44,"562 Chestnut St, Boston, MA 02215"
330477,IPhone,1,700,20/05/21 19:26,"56 11th St, Atlanta, GA 30301"
330478,27in FHD Monitor,1,149.99,20/05/20 17:06,"885 Lincoln St, Portland, OR 97035"
330479,AAA Batteries (4-pack),1,2.99,20/05/16 23:02,"866 South St, Dallas, TX 75001"
330480,AA Batteries (4-pack),1,3.84,20/05/15 21:40,"260 6th St, New York City, NY 10001"
330481,Apple Airpods Headphones,1,150,20/05/04 11:08,"113 Sunset St, San Francisco, CA 94016"
330482,AAA Batteries (4-pack),2,2.99,20/05/29 17:32,"80 Forest St, Boston, MA 02215"
330483,Wired Headphones,1,11.99,20/05/14 07:47,"394 Walnut St, Austin, TX 73301"
330484,Lightning Charging Cable,1,14.95,20/05/02 02:06,"264 Washington St, New York City, NY 10001"
330485,AAA Batteries (4-pack),1,2.99,20/05/31 11:28,"52 Jefferson St, San Francisco, CA 94016"
330486,20in Monitor,1,109.99,20/05/05 16:17,"580 Lakeview St, Los Angeles, CA 90001"
330487,IPhone,1,700,20/05/29 18:10,"961 Center St, Dallas, TX 75001"
330488,27in FHD Monitor,1,149.99,20/05/26 21:12,"156 9th St, San Francisco, CA 94016"
330489,Apple Airpods Headphones,1,150,20/05/03 00:04,"312 Adams St, Los Angeles, CA 90001"
330490,Wired Headphones,1,11.99,20/05/25 19:14,"954 Meadow St, Seattle, WA 98101"
330491,Macbook Pro Laptop,1,1700,20/05/12 20:14,"882 11th St, Austin, TX 73301"
330492,USB-C Charging Cable,1,11.95,20/05/25 16:24,"563 Ridge St, San Francisco, CA 94016"
330493,Apple Airpods Headphones,1,150,20/05/05 21:37,"784 South St, Portland, OR 97035"
330494,27in FHD Monitor,1,149.99,20/05/14 03:28,"649 Sunset St, Dallas, TX 75001"
330495,Bose SoundSport Headphones,1,99.99,20/05/06 14:05,"926 Forest St, New York City, NY 10001"
330496,AAA Batteries (4-pack),1,2.99,20/05/20 09:25,"395 4th St, New York City, NY 10001"
330497,Lightning Charging Cable,1,14.95,20/05/17 16:10,"161 Center St, Boston, MA 02215"
330498,34in Ultrawide Monitor,1,379.99,20/05/18 19:42,"972 7th St, Seattle, WA 98101"
330499,Flatscreen TV,1,300,20/05/07 22:47,"642 West St, San Francisco, CA 94016"
330500,AAA Batteries (4-pack),1,2.99,20/05/24 22:38,"870 Center St, Boston, MA 02215"
330501,AA Batteries (4-pack),1,3.84,20/05/13 18:13,"981 Hill St, San Francisco, CA 94016"
330502,AA Batteries (4-pack),1,3.84,20/05/01 07:37,"302 River St, Portland, OR 97035"
330503,Lightning Charging Cable,1,14.95,20/05/30 13:42,"646 Ridge St, Los Angeles, CA 90001"
330504,27in 4K Gaming Monitor,1,389.99,20/05/18 20:05,"424 13th St, Dallas, TX 75001"
330505,AAA Batteries (4-pack),1,2.99,20/05/13 18:32,"265 Ridge St, Los Angeles, CA 90001"
330506,AA Batteries (4-pack),2,3.84,20/05/14 10:13,"96 Adams St, New York City, NY 10001"
330507,AA Batteries (4-pack),1,3.84,20/05/24 17:35,"360 Walnut St, Atlanta, GA 30301"
330508,Lightning Charging Cable,1,14.95,20/05/06 19:44,"784 Sunset St, Seattle, WA 98101"
330509,27in 4K Gaming Monitor,1,389.99,20/05/02 17:09,"898 Hill St, Dallas, TX 75001"
330510,USB-C Charging Cable,1,11.95,20/05/23 01:04,"867 13th St, Boston, MA 02215"
330511,IPhone,1,700,20/05/08 19:29,"549 Wilson St, Los Angeles, CA 90001"
330512,Apple Airpods Headphones,1,150,20/05/14 09:49,"171 12th St, Dallas, TX 75001"
330513,IPhone,1,700,20/05/01 10:03,"472 Center St, San Francisco, CA 94016"
330513,Apple Airpods Headphones,1,150,20/05/01 10:03,"472 Center St, San Francisco, CA 94016"
330514,Apple Airpods Headphones,1,150,20/05/08 14:54,"945 Elm St, San Francisco, CA 94016"
330515,Lightning Charging Cable,1,14.95,20/05/11 10:15,"321 Main St, San Francisco, CA 94016"
330516,AAA Batteries (4-pack),1,2.99,20/05/31 20:08,"32 6th St, San Francisco, CA 94016"
330517,Apple Airpods Headphones,1,150,20/05/16 12:06,"72 Washington St, Dallas, TX 75001"
330517,Apple Airpods Headphones,1,150,20/05/16 12:06,"72 Washington St, Dallas, TX 75001"
330518,Apple Airpods Headphones,1,150,20/05/04 12:35,"958 Meadow St, Seattle, WA 98101"
330519,AAA Batteries (4-pack),1,2.99,20/05/31 20:32,"380 Pine St, San Francisco, CA 94016"
330520,Wired Headphones,1,11.99,20/05/31 11:59,"505 Church St, San Francisco, CA 94016"
330521,AA Batteries (4-pack),1,3.84,20/05/27 10:56,"548 6th St, San Francisco, CA 94016"
330522,AAA Batteries (4-pack),1,2.99,20/05/06 21:48,"76 Cedar St, Boston, MA 02215"
330523,27in FHD Monitor,1,149.99,20/05/20 18:44,"458 5th St, Los Angeles, CA 90001"
330524,ThinkPad Laptop,1,999.99,20/05/19 19:51,"767 Forest St, Atlanta, GA 30301"
330525,Apple Airpods Headphones,1,150,20/05/07 13:03,"913 6th St, Los Angeles, CA 90001"
330526,Lightning Charging Cable,1,14.95,20/05/25 16:49,"50 4th St, San Francisco, CA 94016"
330527,Lightning Charging Cable,2,14.95,20/05/08 11:07,"802 Lake St, Los Angeles, CA 90001"
330528,Wired Headphones,1,11.99,20/05/01 18:49,"57 7th St, Atlanta, GA 30301"
330529,AA Batteries (4-pack),1,3.84,20/05/04 15:23,"742 Cherry St, Dallas, TX 75001"
330530,Bose SoundSport Headphones,1,99.99,20/05/24 06:45,"272 2nd St, Los Angeles, CA 90001"
330531,Lightning Charging Cable,1,14.95,20/05/17 05:23,"853 Ridge St, Boston, MA 02215"
