Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
441351,27in FHD Monitor,1,149.99,20/11/05 18:11,"28 9th St, Seattle, WA 98101"
441352,Flatscreen TV,1,300.0,20/11/06 12:50,"461 4th St, Boston, MA 02215"
441353,34in Ultrawide Monitor,1,379.99,20/11/04 13:58,"216 Lincoln St, Los Angeles, CA 90001"
441354,Apple Airpods Headphones,1,150.0,20/11/15 18:51,"447 Sunset St, San Francisco, CA 94016"
441355,Budget Phone,1,400.0,20/11/18 00:55,"823 11th St, Atlanta, GA 30301"
441355,USB-C Charging Cable,1,11.95,20/11/18 00:55,"823 11th St, Atlanta, GA 30301"
441356,AA Batteries (4-pack),1,3.84,20/11/22 11:56,"232 North St, San Francisco, CA 94016"
441357,27in 4K Gaming Monitor,1,389.99,20/11/14 21:44,"679 North St, Atlanta, GA 30301"
441357,LG Washing Machine,1,600.0,20/11/14 21:44,"679 North St, Atlanta, GA 30301"
441358,USB-C Charging Cable,1,11.95,20/11/04 09:32,"270 Madison St, New York City, NY 10001"
441359,Lightning Charging Cable,1,14.95,20/11/06 00:18,"668 Lake St, New York City, NY 10001"
441360,34in Ultrawide Monitor,1,379.99,20/11/22 15:23,"134 Pine St, Dallas, TX 75001"
441361,Lightning Charging Cable,1,14.95,20/11/29 21:59,"394 Lake St, Los Angeles, CA 90001"
441362,AA Batteries (4-pack),1,3.84,20/11/18 15:44,"617 Main St, San Francisco, CA 94016"
441363,AAA Batteries (4-pack),2,2.99,20/11/08 17:33,"56 Center St, Boston, MA 02215"
441364,Bose SoundSport Headphones,1,99.99,20/11/29 13:06,"312 Meadow St, Dallas, TX 75001"
441365,Wired Headphones,2,11.99,20/11/19 08:46,"435 2nd St, Los Angeles, CA 90001"
441366,USB-C Charging Cable,2,11.95,20/11/24 07:08,"943 Sunset St, Seattle, WA 98101"
441367,Apple Airpods Headphones,1,150.0,20/11/01 08:57,"299 11th St, Austin, TX 73301"
441368,Bose SoundSport Headphones,1,99.99,20/11/17 16:25,"667 14th St, San Francisco, CA 94016"
441369,AA Batteries (4-pack),1,3.84,20/11/25 21:05,"710 South St, Dallas, TX 75001"
441370,USB-C Charging Cable,1,11.95,20/11/08 07:43,"383 Pine St, Los Angeles, CA 90001"
441371,AAA Batteries (4-pack),1,2.99,20/11/17 18:39,"369 Jefferson St, Dallas, TX 75001"
441372,Apple Airpods Headphones,1,150.0,20/11/24 10:57,"291 Elm St, San Francisco, CA 94016"
441373,Apple Airpods Headphones,1,150.0,20/11/01 16:28,"20 11th St, New York City, NY 10001"
441374,27in FHD Monitor,1,149.99,20/11/17 17:59,"946 Dogwood St, San Francisco, CA 94016"
441375,IPhone,1,700.0,20/11/11 22:48,"963 Chestnut St, San Francisco, CA 94016"
441376,AAA Batteries (4-pack),3,2.99,20/11/17 21:58,"682 Lakeview St, San Francisco, CA 94016"
441377,AAA Batteries (4-pack),1,2.99,20/11/02 16:35,"337 Cedar St, San Francisco, CA 94016"
441378,Lightning Charging Cable,1,14.95,20/11/04 20:54,"882 Main St, Austin, TX 73301"
