Order ID,Product,Quantity Ordered,Price Each,Order Date,Purchase Address
396003,Lightning Charging Cable,1,14.95,20/09/12 12:34,"610 4th St, Atlanta, GA 30301"
396004,34in Ultrawide Monitor,1,379.99,20/09/01 17:49,"441 Meadow St, San Francisco, CA 94016"
396005,AA Batteries (4-pack),1,3.84,20/09/19 20:15,"418 Wilson St, San Francisco, CA 94016"
396006,USB-C Charging Cable,1,11.95,20/09/08 20:37,"395 Walnut St, Portland, OR 97035"
396007,27in 4K Gaming Monitor,1,389.99,20/09/02 16:58,"231 Ridge St, Portland, ME 04101"
396008,AAA Batteries (4-pack),2,2.99,20/09/20 19:23,"773 Sunset St, Los Angeles, CA 90001"
396009,AA Batteries (4-pack),1,3.84,20/09/05 08:40,"854 Center St, Dallas, TX 75001"
396010,AAA Batteries (4-pack),1,2.99,20/09/02 13:30,"266 14th St, San Francisco, CA 94016"
396011,27in 4K Gaming Monitor,1,389.99,20/09/30 21:06,"679 South St, New York City, NY 10001"
396012,Apple Airpods Headphones,1,150.0,20/09/16 15:52,"311 Spruce St, Los Angeles, CA 90001"
396013,USB-C Charging Cable,1,11.95,20/09/09 13:09,"277 Park St, Boston, MA 02215"
396014,27in 4K Gaming Monitor,1,389.99,20/09/23 17:41,"243 Lake St, San Francisco, CA 94016"
396015,ThinkPad Laptop,1,999.99,20/09/17 22:47,"453 Jefferson St, Seattle, WA 98101"
396016,Apple Airpods Headphones,1,150.0,20/09/18 09:29,"331 11th St, San Francisco, CA 94016"
396017,USB-C Charging Cable,1,11.95,20/09/20 08:01,"382 2nd St, Los Angeles, CA 90001"
396018,IPhone,1,700.0,20/09/23 22:29,"827 11th St, Atlanta, GA 30301"
396019,Wired Headphones,1,11.99,20/09/26 19:47,"547 Cedar St, San Francisco, CA 94016"
396020,USB-C Charging Cable,1,11.95,20/09/20 16:18,"717 Dogwood St, New York City, NY 10001"
396021,Lightning Charging Cable,1,14.95,20/09/13 14:56,"961 Willow St, Austin, TX 73301"
396022,Lightning Charging Cable,1,14.95,20/09/26 10:29,"138 Lakeview St, Los Angeles, CA 90001"
396023,AA Batteries (4-pack),1,3.84,20/09/06 12:22,"891 6th St, Dallas, TX 75001"
396024,AA Batteries (4-pack),1,3.84,20/09/26 22:28,"46 1st St, Portland, OR 97035"
396025,Wired Headphones,1,11.99,20/09/18 06:18,"951 13th St, Boston, MA 02215"
396026,Lightning Charging Cable,1,14.95,20/09/13 12:42,"559 4th St, Portland, OR 97035"
396027,AA Batteries (4-pack),1,3.84,20/09/01 10:15,"739 Hill St, San Francisco, CA 94016"
396028,Wired Headphones,1,11.99,20/09/12 21:57,"477 Main St, Boston, MA 02215"
396029,Macbook Pro Laptop,1,1700.0,20/09/14 22:17,"607 Hill St, San Francisco, CA 94016"
396030,Flatscreen TV,1,300.0,20/09/17 20:35,"282 5th St, San Francisco, CA 94016"
396031,Macbook Pro Laptop,1,1700.0,20/09/19 16:59,"235 Elm St, San Francisco, CA 94016"
396032,AAA Batteries (4-pack),2,2.99,20/09/16 19:57,"633 Jackson St, New York City, NY 10001"
396033,Lightning Charging Cable,2,14.95,20/09/26 23:21,"988 Ridge St, Boston, MA 02215"
396034,AAA Batteries (4-pack),1,2.99,20/09/01 19:57,"631 South St, New York City, NY 10001"
396035,Apple Airpods Headphones,1,150.0,20/09/20 18:58,"909 Chestnut St, Atlanta, GA 30301"
396036,Samsung Phone,1,600.0,20/09/19 19:59,"85 Washington St, Boston, MA 02215"
396036,USB-C Charging Cable,1,11.95,20/09/19 19:59,"85 Washington St, Boston, MA 02215"
396037,ThinkPad Laptop,1,999.99,20/09/25 21:58,"611 13th St, Dallas, TX 75001"
396038,Wired Headphones,1,11.99,20/09/18 17:49,"294 13th St, Atlanta, GA 30301"
396039,Lightning Charging Cable,1,14.95,20/09/17 19:49,"469 Dogwood St, Seattle, WA 98101"
396040,USB-C Charging Cable,1,11.95,20/09/07 12:39,"336 West St, Boston, MA 02215"
396040,Flatscreen TV,1,300.0,20/09/07 12:39,"336 West St, Boston, MA 02215"
396041,ThinkPad Laptop,1,999.99,20/09/21 20:37,"750 Highland St, Austin, TX 73301"
396042,Lightning Charging Cable,1,14.95,20/09/25 03:01,"474 Johnson St, San Francisco, CA 94016"
396043,Lightning Charging Cable,1,14.95,20/09/13 17:38,"805 Madison St, San Francisco, CA 94016"
396044,Flatscreen TV,1,300.0,20/09/14 01:43,"527 Johnson St, Los Angeles, CA 90001"
396045,Wired Headphones,1,11.99,20/09/05 00:12,"703 Chestnut St, Austin, TX 73301"
396046,Apple Airpods Headphones,1,150.0,20/09/02 15:13,"968 Adams St, Boston, MA 02215"
396047,IPhone,1,700.0,20/09/12 16:22,"860 Maple St, Austin, TX 73301"
396048,Apple Airpods Headphones,1,150.0,20/09/15 23:30,"407 Elm St, Atlanta, GA 30301"
396049,Budget Phone,1,400.0,20/09/14 21:06,"132 9th St, Boston, MA 02215"
396049,USB-C Charging Cable,1,11.95,20/09/14 21:06,"132 9th St, Boston, MA 02215"
396050,27in FHD Monitor,1,149.99,20/09/10 18:35,"645 South St, Dallas, TX 75001"
396051,27in FHD Monitor,1,149.99,20/09/18 00:20,"818 Park St, New York City, NY 10001"
396052,20in Monitor,1,109.99,20/09/03 16:06,"788 Washington St, San Francisco, CA 94016"
396053,Wired Headphones,1,11.99,20/09/30 20:43,"776 12th St, Atlanta, GA 30301"
396054,USB-C Charging Cable,1,11.95,20/09/23 19:48,"903 Walnut St, Austin, TX 73301"
396055,27in 4K Gaming Monitor,1,389.99,20/09/10 22:45,"275 Forest St, New York City, NY 10001"
396056,USB-C Charging Cable,2,11.95,20/09/21 17:06,"629 Forest St, Los Angeles, CA 90001"
396057,AAA Batteries (4-pack),3,2.99,20/09/18 22:03,"857 7th St, San Francisco, CA 94016"
396058,27in FHD Monitor,1,149.99,20/09/04 18:20,"401 Lincoln St, Austin, TX 73301"
396059,Wired Headphones,1,11.99,20/09/30 20:31,"849 North St, Seattle, WA 98101"
396060,AAA Batteries (4-pack),2,2.99,20/09/14 15:50,"543 Hickory St, San Francisco, CA 94016"
396061,USB-C Charging Cable,1,11.95,20/09/10 21:16,"54 2nd St, Los Angeles, CA 90001"
396062,27in FHD Monitor,1,149.99,20/09/05 12:26,"306 Willow St, New York City, NY 10001"
396063,Wired Headphones,1,11.99,20/09/10 21:15,"348 14th St, San Francisco, CA 94016"
396064,AA Batteries (4-pack),2,3.84,20/09/10 15:01,"864 Forest St, New York City, NY 10001"
396065,Samsung Phone,1,600.0,20/09/03 16:58,"613 Maple St, New York City, NY 10001"
396065,USB-C Charging Cable,1,11.95,20/09/03 16:58,"613 Maple St, New York City, NY 10001"
396066,AAA Batteries (4-pack),1,2.99,20/09/30 13:13,"52 2nd St, New York City, NY 10001"
396067,Wired Headphones,1,11.99,20/09/28 20:22,"720 Forest St, San Francisco, CA 94016"
396068,AAA Batteries (4-pack),3,2.99,20/09/18 11:10,"669 Jefferson St, Los Angeles, CA 90001"
396069,Apple Airpods Headphones,1,150.0,20/09/25 19:38,"177 10th St, San Francisco, CA 94016"
396070,Apple Airpods Headphones,1,150.0,20/09/10 21:05,"113 Sunset St, New York City, NY 10001"
396071,Budget Phone,1,400.0,20/09/07 17:50,"743 Cherry St, Los Angeles, CA 90001"
396071,Bose SoundSport Headphones,1,99.99,20/09/07 17:50,"743 Cherry St, Los Angeles, CA 90001"
396072,Apple Airpods Headphones,1,150.0,20/09/01 16:14,"317 8th St, Atlanta, GA 30301"
396073,27in FHD Monitor,1,149.99,20/09/01 12:14,"359 River St, Seattle, WA 98101"
396074,34in Ultrawide Monitor,1,379.99,20/09/04 12:26,"105 1st St, Los Angeles, CA 90001"
396075,Apple Airpods Headphones,1,150.0,20/09/11 12:45,"301 Maple St, San Francisco, CA 94016"
396075,Flatscreen TV,1,300.0,20/09/11 12:45,"301 Maple St, San Francisco, CA 94016"
396076,Flatscreen TV,1,300.0,20/09/29 21:20,"407 Lincoln St, Boston, MA 02215"
396077,Wired Headphones,1,11.99,20/09/09 10:53,"383 Pine St, New York City, NY 10001"
396078,AAA Batteries (4-pack),1,2.99,20/09/05 16:14,"257 Lakeview St, San Francisco, CA 94016"
396079,USB-C Charging Cable,1,11.95,20/09/26 18:52,"660 Chestnut St, Los Angeles, CA 90001"
396080,AAA Batteries (4-pack),1,2.99,20/09/12 14:45,"181 Center St, Boston, MA 02215"
396081,Macbook Pro Laptop,1,1700.0,20/09/23 16:01,"103 Cedar St, Los Angeles, CA 90001"
396082,Wired Headphones,1,11.99,20/09/22 15:22,"832 Hill St, San Francisco, CA 94016"
396083,AAA Batteries (4-pack),1,2.99,20/09/29 00:21,"594 Cherry St, Austin, TX 73301"
396084,34in Ultrawide Monitor,1,379.99,20/09/06 21:50,"24 Meadow St, San Francisco, CA 94016"
396085,Wired Headphones,1,11.99,20/09/01 09:20,"398 Forest St, Austin, TX 73301"
396086,AAA Batteries (4-pack),3,2.99,20/09/15 14:09,"300 Forest St, Boston, MA 02215"
396087,AA Batteries (4-pack),2,3.84,20/09/04 03:10,"714 Center St, New York City, NY 10001"
